timestamp,machine_id,model,scenario,label,trials,completed,pass_rate,summed_everything,mean_steps,schema_errors,wrong_args,forbidden_calls,decoy_calls,recovered,mean_calls,median_wall_s,fatal
1786086380,7-9800x3d-2x5060ti16g-64g-f732,qwen3-coder-30b-a3b-instruct,basic,tc_ctx64k,5,5,1.0,,5,0,0,,,,7,16.74,
1786086474,7-9800x3d-2x5060ti16g-64g-f732,ornith-1.0-35b,basic,tc_ctx64k,5,5,1.0,,5,0,0,,,,7,15.4,
1786086579,7-9800x3d-2x5060ti16g-64g-f732,qwen3.6-35b-a3b-mtp,basic,tc_ctx64k,5,5,1.0,,5,0,0,,,,7,16.66,
1786086705,7-9800x3d-2x5060ti16g-64g-f732,gemma-4-26b-a4b-it-qat,basic,tc_ctx64k,5,5,1.0,,5,0,0,,,,7,21.52,
1786086786,7-9800x3d-2x5060ti16g-64g-f732,gpt-oss-20b,basic,tc_ctx64k,5,5,1.0,,5,0,0,,,,5,13.41,
1786086900,7-9800x3d-2x5060ti16g-64g-f732,nex-agi_nex-n2-mini,basic,tc_ctx64k,5,5,1.0,,5,0,0,,,,7,18.97,
1786087011,7-9800x3d-2x5060ti16g-64g-f732,laguna-xs-2.1,basic,tc_ctx64k,5,5,1.0,,5,0,0,,,,7,18.62,
1786087133,7-9800x3d-2x5060ti16g-64g-f732,qwen3-coder-next,basic,tc_ctx64k,5,5,1.0,,5,0,0,,,,7,20.34,
1786087316,7-9800x3d-2x5060ti16g-64g-f732,qwen3.6-27b-mtp,basic,tc_ctx64k,5,5,1.0,,5,0,0,,,,7,32.44,
1786115202,7-9800x3d-2x5060ti16g-64g-f732,hermes-4.3-36b,basic,tc_ctx64k,5,5,1.0,,5,0,0,,,,7,24.69,
1786119358,7-9800x3d-2x5060ti16g-64g-f732,qwen3-coder-30b-a3b-instruct,hard,tc_hard_ctx64k,5,5,1.0,0,6,0,0,0,0,5,9,22.67,
1786119482,7-9800x3d-2x5060ti16g-64g-f732,ornith-1.0-35b,hard,tc_hard_ctx64k,5,5,1.0,0,6,0,0,0,0,5,9,21.0,
1786119645,7-9800x3d-2x5060ti16g-64g-f732,qwen3.6-35b-a3b-mtp,hard,tc_hard_ctx64k,5,5,1.0,0,6,0,0,0,0,5,9,28.2,
1786119806,7-9800x3d-2x5060ti16g-64g-f732,gemma-4-26b-a4b-it-qat,hard,tc_hard_ctx64k,5,5,1.0,0,6,0,0,0,0,5,9,28.61,
1786119911,7-9800x3d-2x5060ti16g-64g-f732,gpt-oss-20b,hard,tc_hard_ctx64k,5,5,1.0,0,6,0,0,0,0,5,7,18.45,
1786120050,7-9800x3d-2x5060ti16g-64g-f732,nex-agi_nex-n2-mini,hard,tc_hard_ctx64k,5,5,1.0,0,6,0,0,0,0,5,9,23.82,
1786120189,7-9800x3d-2x5060ti16g-64g-f732,laguna-xs-2.1,hard,tc_hard_ctx64k,5,5,1.0,0,6,0,0,0,0,5,9,24.37,
1786120340,7-9800x3d-2x5060ti16g-64g-f732,qwen3-coder-next,hard,tc_hard_ctx64k,5,5,1.0,0,6,0,0,0,0,5,9,26.07,
1786120641,7-9800x3d-2x5060ti16g-64g-f732,qwen3.6-27b-mtp,hard,tc_hard_ctx64k,5,5,1.0,0,6,0,0,0,0,5,9,56.02,
1786120852,7-9800x3d-2x5060ti16g-64g-f732,qwythos-9b-claude-mythos-5-1m,hard,tc_hard_ctx64k,5,5,1.0,0,6,0,0,0,0,5,9,39.59,
1786121034,7-9800x3d-2x5060ti16g-64g-f732,hermes-4.3-36b,hard,tc_hard_ctx64k,5,0,0.0,0,3,0,5,0,15,0,9,33.2,
1786121730,7-9800x3d-2x5060ti16g-64g-f732,qwen3-coder-30b-a3b-instruct,hard,tc_hard_depth11k,5,1,0.2,0,1.2,0,0,0,0,1,1.8,7.81,
1786121859,7-9800x3d-2x5060ti16g-64g-f732,ornith-1.0-35b,hard,tc_hard_depth11k,5,5,1.0,0,6,0,0,0,0,5,9,21.68,
1786121997,7-9800x3d-2x5060ti16g-64g-f732,qwen3.6-35b-a3b-mtp,hard,tc_hard_depth11k,5,5,1.0,0,6,0,0,0,0,5,9,22.77,
1786122156,7-9800x3d-2x5060ti16g-64g-f732,gemma-4-26b-a4b-it-qat,hard,tc_hard_depth11k,5,5,1.0,0,6,0,0,0,0,5,9,27.95,
1786122268,7-9800x3d-2x5060ti16g-64g-f732,gpt-oss-20b,hard,tc_hard_depth11k,5,5,1.0,0,6,0,0,0,0,5,7,19.4,
1786122576,7-9800x3d-2x5060ti16g-64g-f732,qwen3-coder-30b-a3b-instruct,hard,tc_hard_depth11k_nocache,5,5,1.0,0,6,0,0,0,0,5,9,27.24,
